strategy,years,final_nav,cagr_pct,vol_pct,sharpe,max_drawdown_pct,calmar,monthly_win_rate_pct
buy_hold_spy,12.3,496384.98,13.86,17.25,0.84,-33.72,0.41,69.6
trend_following_spy,12.3,326744.6,10.07,11.37,0.9,-19.81,0.51,59.5
vix_overlay_spy_30,12.3,335188.04,10.29,13.84,0.78,-29.22,0.35,68.9
vix_overlay_spy_25,12.3,319317.69,9.86,12.01,0.85,-21.92,0.45,66.9
sixty_forty,12.3,306004.79,9.48,10.89,0.89,-27.24,0.35,65.5
dual_momentum,12.3,250854.08,7.73,15.01,0.57,-33.72,0.23,64.2
sector_momentum_top3_monthly,12.3,393825.34,11.74,17.02,0.74,-31.38,0.37,63.5
sector_rotation_5d_live,12.3,122908.95,1.68,2.88,0.6,-5.1,0.33,61.5
sector_rotation_5d_trend_filter,12.3,113645.28,1.04,2.55,0.42,-5.31,0.2,50.7
sector_rotation_5d_vix_filter,12.3,116514.76,1.25,2.58,0.49,-5.23,0.24,56.8
sector_rotation_monthly_match_live,12.3,124705.28,1.8,3.36,0.55,-6.95,0.26,61.5
buy_hold_btc,11.6,17537512.02,55.88,55.53,0.83,-83.4,0.67,56.4
btc_stress_overlay,11.6,57120871.58,72.53,56.74,1.24,-69.11,1.05,50.0
