date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2022-01-03,450.64,410.29,0.0,16.6,322809.2,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-04,450.49,410.71,-0.03,16.91,310236.03,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-05,441.84,411.1,-1.95,19.73,281631.98,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-06,441.43,411.5,-2.05,19.61,281027.56,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-07,439.68,411.88,-2.43,18.76,271884.16,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-10,439.14,412.23,-2.55,19.4,272410.59,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-11,443.14,412.59,-1.67,18.41,284677.14,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-12,444.33,412.97,-1.4,17.62,288052.84,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-13,438.21,413.31,-2.76,20.31,266424.12,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-14,438.39,413.63,-2.72,19.19,271387.5,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-18,430.63,413.89,-4.44,22.79,251109.44,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-19,426.16,414.12,-5.43,23.85,242825.7,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-20,421.44,414.33,-6.48,25.59,233354.83,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-01-21,413.17,414.49,-8.32,28.85,213934.19,SYNTH_3X_QQQ,BIL_EXTENDED,BIL_EXTENDED (stopped)
2022-01-24,414.92,414.64,-7.93,29.9,216864.1,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-01-25,409.85,414.77,-9.05,31.16,201774.25,SYNTH_3X_QQQ,BIL_EXTENDED,SYNTH_3X_QQQ
2022-01-26,408.83,414.89,-9.28,31.96,200819.62,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-01-27,406.81,415.0,-9.73,30.49,194745.0,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-01-28,416.91,415.14,-7.49,27.66,213064.43,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-01-31,424.42,415.31,-5.82,24.83,233496.87,SYNTH_3X_QQQ,BIL_EXTENDED,SYNTH_3X_QQQ
2022-02-01,427.29,415.51,-5.18,21.96,238253.87,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-02-02,431.44,415.74,-4.26,22.09,244052.53,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-02-03,421.3,415.91,-6.51,24.35,214358.87,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-02-04,423.28,416.1,-6.07,23.22,222463.24,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-02-07,421.92,416.26,-6.37,22.86,217086.02,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-02-08,425.39,416.44,-5.6,21.44,224394.9,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-02-09,431.62,416.65,-4.22,19.96,238651.69,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-02-10,423.86,416.82,-5.94,23.91,222438.82,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-02-11,415.5,416.93,-7.8,27.36,201262.14,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-02-14,414.15,417.06,-8.1,28.33,202002.57,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-02-15,420.83,417.21,-6.62,25.7,217062.9,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-02-16,421.3,417.37,-6.51,24.29,216890.04,SYNTH_3X_QQQ,BIL_EXTENDED,SYNTH_3X_QQQ
2022-02-17,412.3,417.49,-8.51,28.11,197528.4,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-02-18,409.63,417.58,-9.1,27.75,190762.28,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED (stopped)
2022-02-22,405.23,417.64,-10.08,28.81,185007.3,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-02-23,398.04,417.68,-11.67,31.02,170783.33,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-02-24,404.03,417.76,-10.34,30.32,187994.2,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-02-25,412.95,417.93,-8.36,27.59,196732.77,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-02-28,411.89,418.08,-8.6,30.15,198483.4,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-01,405.62,418.16,-9.99,33.32,189358.7,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-02,413.08,418.28,-8.34,30.74,198883.58,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-03,411.02,418.42,-8.79,30.48,190352.95,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-04,407.68,418.54,-9.53,31.98,182070.05,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-07,395.67,418.57,-12.2,36.45,161918.32,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-08,392.67,418.6,-12.87,35.13,159654.4,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-09,403.19,418.66,-10.53,32.45,176890.17,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-10,401.37,418.71,-10.93,30.23,170990.48,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-11,396.27,418.74,-12.07,30.75,160345.8,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-14,393.37,418.75,-12.71,31.77,151101.64,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-15,402.02,418.79,-10.79,29.83,165314.65,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-16,410.94,418.89,-8.81,26.67,183701.28,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-17,416.08,419.01,-7.67,25.67,190366.36,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-18,420.64,419.15,-6.66,23.87,202048.32,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-03-21,420.51,419.28,-6.69,23.53,200355.65,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-03-22,425.44,419.44,-5.59,22.94,212160.46,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-03-23,419.96,419.57,-6.81,23.57,203005.45,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-03-24,426.29,419.73,-5.41,21.67,216534.25,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
