date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2020-02-18,307.73,275.16,-0.26,14.83,104359.98,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2020-02-19,309.2,275.38,0.0,14.38,107357.04,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2020-02-20,307.93,275.6,-0.41,15.56,104363.04,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2020-02-21,304.76,275.83,-1.44,17.08,98344.8,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2020-02-24,294.65,276.0,-4.71,25.03,86963.55,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2020-02-25,285.72,276.14,-7.59,27.85,79866.22,SYNTH_3X_QQQ,BIL_EXTENDED,BIL_EXTENDED (stopped)
2020-02-26,284.67,276.27,-7.93,27.56,81098.05,SYNTH_3X_QQQ,BIL_EXTENDED,BIL_EXTENDED (stopped)
2020-02-27,271.88,276.36,-12.07,39.16,68912.28,SYNTH_3X_QQQ,BIL_EXTENDED,BIL_EXTENDED (stopped)
2020-02-28,270.74,276.44,-12.44,40.11,69070.55,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-02,282.47,276.57,-8.65,33.42,79760.79,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-03,274.38,276.64,-11.26,36.82,72084.66,SYNTH_3X_QQQ,BIL_EXTENDED,SYNTH_3X_QQQ
2020-03-04,285.91,276.78,-7.53,31.99,81104.59,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-05,276.41,276.89,-10.6,39.62,73709.12,SYNTH_3X_QQQ,BIL_EXTENDED,SYNTH_3X_QQQ
2020-03-06,271.84,276.96,-12.08,41.94,69975.45,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-09,250.61,276.92,-18.95,54.46,55390.39,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-10,263.58,276.97,-14.75,47.3,64436.39,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-11,250.73,276.95,-18.91,53.9,56014.39,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-12,226.74,276.82,-26.67,75.47,40604.16,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-13,246.12,276.8,-20.4,57.83,50920.83,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-16,219.19,276.64,-29.11,82.69,32619.82,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-17,231.03,276.55,-25.28,75.91,40040.41,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-18,219.33,276.41,-29.07,76.45,36385.28,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-19,219.79,276.25,-28.91,72.0,37039.1,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-20,210.32,276.03,-31.98,66.04,32684.57,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-23,204.94,275.77,-33.72,61.59,32754.12,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-24,223.51,275.59,-27.71,61.67,40362.1,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-25,226.86,275.42,-26.63,63.95,39463.95,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-26,240.11,275.32,-22.35,61.0,45697.02,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-27,232.95,275.19,-24.66,65.54,40980.35,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-30,240.52,275.09,-22.21,57.08,45450.55,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-03-31,236.93,274.97,-23.37,53.54,44284.43,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-04-01,226.27,274.8,-26.82,57.06,38637.88,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2020-04-02,231.49,274.64,-25.13,50.91,40988.91,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
