date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2000-01-03,91.37,84.35,-0.98,24.21,496567.87,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2000-01-04,87.79,84.38,-4.85,27.01,394353.13,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2000-01-05,87.95,84.43,-4.68,26.41,364175.07,SYNTH_3X_QQQ,BIL_EXTENDED,BIL_EXTENDED (stopped)
2000-01-06,86.54,84.46,-6.21,25.73,289129.94,SYNTH_3X_QQQ,BIL_EXTENDED,BIL_EXTENDED (stopped)
2000-01-07,91.56,84.52,-0.77,21.72,396400.29,SYNTH_3X_QQQ,BIL_EXTENDED,BIL_EXTENDED (stopped)
2000-01-10,91.88,84.58,-0.43,21.71,429418.7,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2000-01-11,90.78,84.62,-1.62,22.5,366730.78,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2000-01-12,89.88,84.67,-2.6,22.84,342494.31,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2000-01-13,91.09,84.72,-1.28,21.71,404414.06,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2000-01-14,92.33,84.78,0.0,19.66,432651.26,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2000-01-18,91.6,84.83,-0.79,21.5,439586.23,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2000-01-19,92.35,84.88,0.0,21.72,469421.79,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2000-01-20,90.94,84.92,-1.53,21.75,455650.94,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
