date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2007-10-01,109.61,103.45,-0.02,17.84,4640.5,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-02,109.46,103.5,-0.16,18.49,4643.01,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-03,109.24,103.55,-0.36,18.8,4546.42,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-04,109.41,103.6,-0.21,18.44,4577.93,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-05,110.71,103.66,0.0,16.91,4856.31,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-08,110.12,103.71,-0.53,17.46,4947.15,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-09,111.15,103.77,0.0,16.12,5011.19,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-10,110.97,103.82,-0.17,16.67,5047.61,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-11,110.44,103.88,-0.65,18.88,4806.88,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-12,111.05,103.94,-0.1,17.73,5044.94,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-15,110.11,103.99,-0.94,19.25,4928.84,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-16,109.24,104.04,-1.73,20.02,4859.06,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-17,109.57,104.09,-1.43,18.54,5046.36,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-18,109.17,104.14,-1.78,18.5,5111.19,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-19,106.32,104.18,-4.35,22.96,4728.94,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-22,106.93,104.22,-3.8,21.64,4899.2,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-23,107.8,104.26,-3.02,20.41,5206.43,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-24,107.6,104.31,-3.2,20.8,5088.03,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-25,107.86,104.35,-2.97,21.17,4883.46,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-26,109.12,104.4,-1.83,19.56,5126.29,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-29,109.48,104.44,-1.5,19.87,5188.83,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-30,108.72,104.48,-2.19,21.07,5220.26,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-10-31,109.85,104.53,-1.17,18.53,5442.3,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-11-01,107.28,104.57,-3.48,23.21,5136.51,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-11-02,107.4,104.6,-3.37,23.01,5256.17,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-11-05,106.59,104.64,-4.11,24.31,5154.55,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-11-06,108.02,104.68,-2.82,21.39,5328.81,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-11-07,105.07,104.7,-5.48,26.49,4939.77,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-11-08,104.53,104.72,-5.96,26.16,4489.59,SYNTH_3X_QQQ,BIL_EXTENDED,BIL_EXTENDED (stopped)
2007-11-09,103.1,104.74,-7.25,28.5,4038.98,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-12,102.08,104.75,-8.17,31.09,3731.06,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-13,105.19,104.78,-5.37,24.1,4192.61,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-14,104.9,104.8,-5.63,25.94,4031.33,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-11-15,103.38,104.81,-6.99,28.06,3965.99,SYNTH_3X_QQQ,BIL_EXTENDED,SYNTH_3X_QQQ
2007-11-16,103.56,104.82,-6.83,25.49,4075.69,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-19,102.12,104.82,-8.13,26.01,3934.49,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-20,102.74,104.83,-7.57,24.88,3981.84,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-21,100.64,104.82,-9.46,26.84,3840.45,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-23,102.38,104.82,-7.89,25.61,3964.14,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-26,100.12,104.82,-9.92,28.91,3758.8,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-27,101.27,104.82,-8.89,26.28,3984.27,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-28,104.51,104.84,-5.98,24.11,4347.77,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-29,104.55,104.85,-5.94,23.97,4403.35,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-11-30,105.6,104.87,-5.0,22.87,4303.53,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2007-12-03,104.9,104.88,-5.62,23.61,4195.18,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2007-12-04,103.97,104.89,-6.47,23.79,4143.08,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
