date,spy_12mo_pct,veu_12mo_pct,bil_12mo_pct,holding
2014-01-31,,,,BIL_warmup
2014-02-28,,,,BIL_warmup
2014-03-31,,,,BIL_warmup
2014-04-30,,,,BIL_warmup
2014-05-31,,,,BIL_warmup
2014-06-30,,,,BIL_warmup
2014-07-31,,,,BIL_warmup
2014-08-31,,,,BIL_warmup
2014-09-30,,,,BIL_warmup
2014-10-31,,,,BIL_warmup
2014-11-30,,,,BIL_warmup
2014-12-31,,,,BIL_warmup
2015-01-31,14.12,1.32,-0.09,SPY
2015-02-28,15.29,1.53,-0.11,SPY
2015-03-31,12.55,-0.37,-0.09,SPY
2015-04-30,12.87,2.84,-0.11,SPY
2015-05-31,11.73,-0.15,-0.13,SPY
2015-06-30,7.24,-4.55,-0.11,SPY
2015-07-31,11.16,-3.4,-0.09,SPY
2015-08-31,0.42,-11.77,-0.11,SPY
2015-09-30,-0.77,-10.99,-0.15,BIL_riskoff
2015-10-31,5.19,-5.23,-0.15,SPY
2015-11-30,2.75,-6.18,-0.13,SPY
2015-12-31,1.23,-4.78,-0.13,SPY
2016-01-31,-0.87,-10.09,-0.09,BIL_riskoff
2016-02-29,-6.22,-17.13,-0.09,BIL_riskoff
2016-03-31,1.68,-8.96,-0.09,SPY
2016-04-30,1.09,-11.25,-0.02,SPY
2016-05-31,1.51,-11.03,0.0,SPY
2016-06-30,3.97,-9.13,-0.02,SPY
2016-07-31,5.38,-5.0,0.02,SPY
2016-08-31,12.36,3.7,0.02,SPY
2016-09-30,15.3,9.75,0.09,SPY
2016-10-31,4.42,1.13,0.13,SPY
2016-11-30,7.88,0.3,0.07,SPY
2016-12-31,12.0,4.88,0.11,SPY
2017-01-31,19.98,15.7,0.13,SPY
2017-02-28,24.79,20.09,0.18,SPY
2017-03-31,17.07,14.2,0.16,SPY
2017-04-30,17.77,14.18,0.19,SPY
2017-05-31,17.44,18.61,0.21,VEU
2017-06-30,17.77,20.09,0.34,VEU
2017-07-31,15.97,19.09,0.32,VEU
2017-08-31,16.17,19.02,0.44,VEU
2017-09-30,18.5,19.34,0.49,VEU
2017-10-31,23.43,23.77,0.54,VEU
2017-11-30,22.68,27.26,0.64,VEU
2017-12-31,21.71,27.4,0.69,VEU
2018-01-31,26.3,29.31,0.78,VEU
2018-02-28,17.11,20.92,0.81,VEU
2018-03-31,13.76,16.89,0.96,VEU
2018-04-30,13.22,15.15,0.99,VEU
2018-05-31,14.36,9.51,1.12,SPY
2018-06-30,14.29,6.65,1.17,SPY
2018-07-31,16.14,6.15,1.28,SPY
2018-08-31,19.5,3.0,1.32,SPY
2018-09-30,17.83,1.6,1.39,SPY
2018-10-31,7.16,-8.62,1.49,SPY
2018-11-30,5.91,-7.86,1.63,SPY
2018-12-31,-4.57,-14.18,1.74,BIL_riskoff
2019-01-31,-2.43,-12.67,1.78,BIL_riskoff
2019-02-28,4.54,-6.27,1.89,SPY
2019-03-31,9.43,-4.91,1.93,SPY
2019-04-30,13.31,-2.75,2.02,SPY
2019-05-31,3.57,-6.27,2.08,SPY
2019-06-30,10.14,1.4,2.12,SPY
2019-07-31,7.81,-3.23,2.16,SPY
2019-08-31,2.73,-3.32,2.17,SPY
2019-09-30,4.11,-1.04,2.19,SPY
2019-10-31,14.31,11.63,2.18,SPY
2019-11-30,16.29,11.17,2.1,SPY
2019-12-31,31.22,21.83,2.03,SPY
2020-01-31,21.45,9.4,1.98,SPY
2020-02-29,8.32,0.53,1.91,SPY
2020-03-31,-6.89,-15.53,1.94,BIL_riskoff
2020-04-30,0.81,-12.29,1.72,BIL_riskoff
2020-05-31,12.81,-2.79,1.49,SPY
2020-06-30,7.34,-4.18,1.31,SPY
2020-07-31,11.97,1.41,1.13,SPY
2020-08-31,21.83,8.52,0.96,SPY
2020-09-30,15.03,3.76,0.78,SPY
2020-10-31,9.73,-1.76,0.63,SPY
2020-11-30,17.42,9.48,0.51,SPY
2020-12-31,18.33,11.1,0.4,SPY
2021-01-31,17.17,15.45,0.28,SPY
2021-02-28,30.78,26.19,0.15,SPY
2021-03-31,56.23,51.28,-0.07,SPY
2021-04-30,45.96,45.29,-0.05,SPY
2021-05-31,40.24,43.19,-0.04,VEU
2021-06-30,40.89,36.53,-0.06,SPY
2021-07-31,36.3,29.51,-0.08,SPY
2021-08-31,31.2,25.93,-0.1,SPY
2021-09-30,29.95,23.81,-0.06,SPY
2021-10-31,42.62,29.88,-0.08,SPY
2021-11-30,27.6,10.38,-0.1,SPY
2021-12-31,28.73,8.27,-0.1,SPY
2022-01-31,23.19,5.27,-0.1,SPY
2022-02-28,16.32,-0.03,-0.11,SPY
2022-03-31,15.46,-2.23,-0.05,SPY
2022-04-30,0.03,-10.85,-0.06,SPY
2022-05-31,-0.4,-12.17,-0.02,BIL_riskoff
2022-06-30,-10.62,-18.51,0.08,BIL_riskoff
2022-07-31,-4.71,-14.54,0.13,BIL_riskoff
