Date,equal_weight,risk_parity,regime_routed,"tqqq_trend_trailing_stop_10pct (synth, 1999+)",sixty_forty (2002+),trend_following_spy_200d (1993+),buy_hold_spy
1993-01-29,,,,,,100000.0,100000.0
1993-02-01,,,,,,100000.0,100711.28973938417
1993-02-02,,,,,,100000.0,100924.59382006733
1993-02-03,,,,,,100000.0,101991.50870506451
1993-02-04,,,,,,100000.0,102418.2509901685
1993-02-05,,,,,,100000.0,102347.11807141425
1993-02-08,,,,,,100000.0,102347.11807141425
1993-02-09,,,,,,100000.0,101635.89144908311
1993-02-10,,,,,,100000.0,101778.17306585483
1993-02-11,,,,,,100000.0,102275.9772630284
1993-02-12,,,,,,100000.0,101493.56249452164
1993-02-16,,,,,,100000.0,98933.15612168747
1993-02-17,,,,,,100000.0,98862.01531330161
1993-02-18,,,,,,100000.0,98790.87450491574
1993-02-19,,,,,,100000.0,99146.53120905528
1993-02-22,,,,,,100000.0,99502.13268577341
1993-02-23,,,,,,100000.0,99430.98398775593
1993-02-24,,,,,,100000.0,100711.28973938417
1993-02-25,,,,,,100000.0,100924.59382006733
1993-02-26,,,,,,100000.0,101066.84387831253
1993-03-01,,,,,,100000.0,100782.32798255885
1993-03-02,,,,,,100000.0,102275.9772630284
1993-03-03,,,,,,100000.0,102702.6879896059
1993-03-04,,,,,,100000.0,102133.74298404645
1993-03-05,,,,,,100000.0,101849.25075718768
1993-03-08,,,,,,100000.0,104125.14123426817
1993-03-09,,,,,,100000.0,103769.54764718167
1993-03-10,,,,,,100000.0,103982.94640344437
1993-03-11,,,,,,100000.0,103698.40683879581
1993-03-12,,,,,,100000.0,102631.63396716793
1993-03-15,,,,,,100000.0,103129.44605397312
1993-03-16,,,,,,100000.0,103129.44605397312
1993-03-17,,,,,,100000.0,102489.25767481669
1993-03-18,,,,,,100000.0,103129.44605397312
1993-03-19,,,,,,100000.0,102973.33391295826
1993-03-22,,,,,,100000.0,102401.75377043523
1993-03-23,,,,,,100000.0,102616.12295138811
