position_size,max_positions,hold_days,spread_threshold,final_nav,cagr_pct,vol_pct,sharpe,max_drawdown_pct,calmar,monthly_win_rate_pct,years
0.05,1,3,0.005,105749.66,0.45,0.93,0.49,-1.45,0.31,54.7,12.3
0.05,1,3,0.015,105496.51,0.43,0.93,0.47,-1.46,0.3,54.7,12.3
0.05,1,3,0.03,106578.95,0.52,0.89,0.59,-1.88,0.28,54.7,12.3
0.05,1,5,0.005,106149.64,0.48,0.93,0.52,-1.42,0.34,56.1,12.3
0.05,1,5,0.015,106385.73,0.5,0.93,0.54,-1.41,0.36,57.4,12.3
0.05,1,5,0.03,105754.97,0.45,0.92,0.5,-1.62,0.28,57.4,12.3
0.05,1,10,0.005,108854.02,0.69,0.98,0.7,-2.1,0.33,56.1,12.3
0.05,1,10,0.015,108854.02,0.69,0.98,0.7,-2.1,0.33,56.1,12.3
0.05,1,10,0.03,109436.7,0.73,0.96,0.77,-1.28,0.57,53.4,12.3
0.05,1,21,0.005,106128.08,0.48,0.99,0.49,-1.61,0.3,60.8,12.3
0.05,1,21,0.015,106128.08,0.48,0.99,0.49,-1.61,0.3,60.8,12.3
0.05,1,21,0.03,107527.01,0.59,1.0,0.59,-1.91,0.31,63.5,12.3
0.05,3,3,0.005,110568.08,0.82,1.24,0.67,-1.78,0.46,57.4,12.3
0.05,3,3,0.015,110480.95,0.81,1.24,0.66,-1.78,0.46,57.4,12.3
0.05,3,3,0.03,110169.14,0.79,1.17,0.68,-2.02,0.39,58.8,12.3
0.05,3,5,0.005,110764.45,0.83,1.47,0.57,-2.68,0.31,62.2,12.3
0.05,3,5,0.015,110498.4,0.81,1.47,0.56,-2.85,0.28,62.2,12.3
0.05,3,5,0.03,111521.85,0.89,1.39,0.64,-2.97,0.3,61.5,12.3
0.05,3,10,0.005,116298.03,1.23,1.86,0.67,-2.93,0.42,62.2,12.3
0.05,3,10,0.015,116588.86,1.25,1.85,0.68,-2.79,0.45,62.8,12.3
0.05,3,10,0.03,116271.58,1.23,1.77,0.7,-2.93,0.42,56.8,12.3
0.05,3,21,0.005,119913.19,1.48,2.08,0.72,-5.19,0.29,60.1,12.3
0.05,3,21,0.015,119913.19,1.48,2.08,0.72,-5.19,0.29,60.1,12.3
0.05,3,21,0.03,123260.66,1.71,2.0,0.86,-4.88,0.35,64.9,12.3
0.05,5,3,0.005,110568.08,0.82,1.24,0.67,-1.78,0.46,57.4,12.3
