position_size,max_positions,hold_days,spread_threshold,final_nav,cagr_pct,vol_pct,sharpe,max_drawdown_pct,calmar,monthly_win_rate_pct,years
0.05,1,3,0.005,102146.87,0.36,0.69,0.52,-1.09,0.33,57.7,6.0
0.05,1,3,0.015,101893.69,0.31,0.68,0.46,-1.46,0.21,57.7,6.0
0.05,1,3,0.03,102454.72,0.41,0.64,0.64,-0.77,0.52,57.7,6.0
0.05,1,5,0.005,100925.48,0.15,0.7,0.22,-1.32,0.12,47.9,6.0
0.05,1,5,0.015,101161.57,0.19,0.7,0.28,-1.07,0.18,50.7,6.0
0.05,1,5,0.03,101960.13,0.32,0.68,0.48,-0.96,0.34,54.9,6.0
0.05,1,10,0.005,99346.88,-0.11,0.73,-0.15,-2.1,-0.05,47.9,6.0
0.05,1,10,0.015,99346.88,-0.11,0.73,-0.15,-2.1,-0.05,47.9,6.0
0.05,1,10,0.03,101245.42,0.21,0.71,0.3,-1.16,0.18,43.7,6.0
0.05,1,21,0.005,103696.22,0.61,0.76,0.8,-1.13,0.54,63.4,6.0
0.05,1,21,0.015,103696.22,0.61,0.76,0.8,-1.13,0.54,63.4,6.0
0.05,1,21,0.03,103944.12,0.65,0.75,0.86,-0.86,0.75,64.8,6.0
0.05,3,3,0.005,102994.89,0.49,0.98,0.51,-1.3,0.38,56.3,6.0
0.05,3,3,0.015,102924.13,0.48,0.98,0.5,-1.3,0.37,56.3,6.0
0.05,3,3,0.03,102750.29,0.45,0.81,0.56,-1.23,0.37,59.2,6.0
0.05,3,5,0.005,102797.64,0.46,1.17,0.4,-2.68,0.17,59.2,6.0
0.05,3,5,0.015,102650.8,0.44,1.16,0.38,-2.85,0.15,59.2,6.0
0.05,3,5,0.03,102919.88,0.48,0.99,0.49,-2.47,0.19,60.6,6.0
0.05,3,10,0.005,104295.49,0.7,1.48,0.48,-2.93,0.24,57.7,6.0
0.05,3,10,0.015,104586.31,0.75,1.47,0.52,-2.72,0.28,59.2,6.0
0.05,3,10,0.03,104908.54,0.8,1.32,0.61,-2.93,0.27,50.7,6.0
0.05,3,21,0.005,105337.91,0.87,1.69,0.52,-2.72,0.32,62.0,6.0
0.05,3,21,0.015,105337.91,0.87,1.69,0.52,-2.72,0.32,62.0,6.0
0.05,3,21,0.03,108751.16,1.41,1.61,0.88,-2.32,0.61,63.4,6.0
0.05,5,3,0.005,102994.89,0.49,0.98,0.51,-1.3,0.38,56.3,6.0
0.05,5,3,0.015,102924.13,0.48,0.98,0.5,-1.3,0.37,56.3,6.0
0.05,5,3,0.03,102750.29,0.45,0.81,0.56,-1.23,0.37,59.2,6.0
0.05,5,5,0.005,103420.81,0.56,1.2,0.48,-2.49,0.23,60.6,6.0
0.05,5,5,0.015,103148.37,0.52,1.19,0.44,-2.66,0.19,60.6,6.0
0.05,5,5,0.03,103055.9,0.5,1.0,0.51,-2.37,0.21,63.4,6.0
0.05,5,10,0.005,107650.64,1.24,1.73,0.72,-2.97,0.42,62.0,6.0
0.05,5,10,0.015,107857.31,1.27,1.72,0.74,-2.96,0.43,63.4,6.0
0.05,5,10,0.03,106171.89,1.0,1.47,0.69,-3.04,0.33,59.2,6.0
0.05,5,21,0.005,110967.89,1.75,2.36,0.75,-3.96,0.44,66.2,6.0
0.05,5,21,0.015,111244.55,1.79,2.33,0.77,-3.95,0.45,64.8,6.0
0.05,5,21,0.03,109274.99,1.49,2.11,0.71,-3.5,0.43,62.0,6.0
0.05,10,3,0.005,102994.89,0.49,0.98,0.51,-1.3,0.38,56.3,6.0
0.05,10,3,0.015,102924.13,0.48,0.98,0.5,-1.3,0.37,56.3,6.0
0.05,10,3,0.03,102750.29,0.45,0.81,0.56,-1.23,0.37,59.2,6.0
0.05,10,5,0.005,103420.81,0.56,1.2,0.48,-2.49,0.23,60.6,6.0
0.05,10,5,0.015,103148.37,0.52,1.19,0.44,-2.66,0.19,60.6,6.0
0.05,10,5,0.03,103055.9,0.5,1.0,0.51,-2.37,0.21,63.4,6.0
0.05,10,10,0.005,107785.78,1.26,1.77,0.72,-3.52,0.36,62.0,6.0
0.05,10,10,0.015,107789.05,1.26,1.75,0.72,-3.51,0.36,63.4,6.0
0.05,10,10,0.03,106269.43,1.02,1.5,0.69,-3.58,0.28,59.2,6.0
0.05,10,21,0.005,115010.2,2.36,2.61,0.91,-3.96,0.6,67.6,6.0
0.05,10,21,0.015,115588.29,2.45,2.57,0.95,-3.55,0.69,69.0,6.0
0.05,10,21,0.03,112092.9,1.92,2.24,0.86,-3.49,0.55,64.8,6.0
0.1,1,3,0.005,104293.73,0.7,1.37,0.52,-2.17,0.32,57.7,6.0
0.1,1,3,0.015,103787.38,0.62,1.35,0.47,-2.91,0.21,57.7,6.0
0.1,1,3,0.03,104909.45,0.8,1.26,0.64,-1.54,0.52,57.7,6.0
0.1,1,5,0.005,101850.96,0.31,1.4,0.23,-2.61,0.12,47.9,6.0
0.1,1,5,0.015,102323.15,0.38,1.4,0.28,-2.11,0.18,50.7,6.0
0.1,1,5,0.03,103920.26,0.64,1.34,0.49,-1.87,0.34,54.9,6.0
0.1,1,10,0.005,98693.76,-0.22,1.46,-0.14,-4.17,-0.05,47.9,6.0
0.1,1,10,0.015,98693.76,-0.22,1.46,-0.14,-4.17,-0.05,47.9,6.0
0.1,1,10,0.03,102490.85,0.41,1.41,0.3,-2.28,0.18,43.7,6.0
0.1,1,21,0.005,107392.44,1.2,1.49,0.8,-2.24,0.53,63.4,6.0
0.1,1,21,0.015,107392.44,1.2,1.49,0.8,-2.24,0.53,63.4,6.0
0.1,1,21,0.03,107888.25,1.27,1.48,0.87,-1.67,0.77,64.8,6.0
0.1,3,3,0.005,105989.77,0.98,1.93,0.51,-2.51,0.39,56.3,6.0
0.1,3,3,0.015,105848.25,0.95,1.92,0.5,-2.51,0.38,56.3,6.0
0.1,3,3,0.03,105500.58,0.9,1.6,0.57,-2.45,0.37,59.2,6.0
0.1,3,5,0.005,105595.28,0.91,2.3,0.41,-5.16,0.18,59.2,6.0
0.1,3,5,0.015,105301.61,0.87,2.29,0.39,-5.48,0.16,59.2,6.0
0.1,3,5,0.03,105839.75,0.95,1.96,0.49,-4.77,0.2,60.6,6.0
0.1,3,10,0.005,108590.98,1.38,2.92,0.49,-5.77,0.24,57.7,6.0
0.1,3,10,0.015,109172.62,1.48,2.9,0.52,-5.36,0.28,59.2,6.0
0.1,3,10,0.03,109817.08,1.57,2.59,0.62,-5.61,0.28,50.7,6.0
0.1,3,21,0.005,110675.82,1.71,3.32,0.53,-5.23,0.33,62.0,6.0
0.1,3,21,0.015,110675.82,1.71,3.32,0.53,-5.23,0.33,62.0,6.0
0.1,3,21,0.03,117502.31,2.73,3.13,0.88,-4.38,0.62,63.4,6.0
0.1,5,3,0.005,105989.77,0.98,1.93,0.51,-2.51,0.39,56.3,6.0
0.1,5,3,0.015,105848.25,0.95,1.92,0.5,-2.51,0.38,56.3,6.0
0.1,5,3,0.03,105500.58,0.9,1.6,0.57,-2.45,0.37,59.2,6.0
0.1,5,5,0.005,106841.62,1.11,2.35,0.48,-4.78,0.23,60.6,6.0
0.1,5,5,0.015,106296.74,1.02,2.33,0.45,-5.1,0.2,60.6,6.0
0.1,5,5,0.03,106111.81,0.99,1.97,0.51,-4.56,0.22,63.4,6.0
0.1,5,10,0.005,115301.28,2.4,3.37,0.72,-5.6,0.43,62.0,6.0
0.1,5,10,0.015,115714.61,2.47,3.35,0.74,-5.59,0.44,63.4,6.0
0.1,5,10,0.03,112343.77,1.96,2.87,0.69,-5.78,0.34,59.2,6.0
0.1,5,21,0.005,121935.78,3.36,4.49,0.76,-7.21,0.47,66.2,6.0
0.1,5,21,0.015,122489.09,3.44,4.44,0.78,-7.18,0.48,64.8,6.0
0.1,5,21,0.03,118549.98,2.88,4.08,0.72,-6.51,0.44,62.0,6.0
0.1,10,3,0.005,105989.77,0.98,1.93,0.51,-2.51,0.39,56.3,6.0
0.1,10,3,0.015,105848.25,0.95,1.92,0.5,-2.51,0.38,56.3,6.0
0.1,10,3,0.03,105500.58,0.9,1.6,0.57,-2.45,0.37,59.2,6.0
0.1,10,5,0.005,106841.62,1.11,2.35,0.48,-4.78,0.23,60.6,6.0
0.1,10,5,0.015,106296.74,1.02,2.33,0.45,-5.1,0.2,60.6,6.0
0.1,10,5,0.03,106111.81,0.99,1.97,0.51,-4.56,0.22,63.4,6.0
0.1,10,10,0.005,115571.56,2.44,3.44,0.72,-6.62,0.37,62.0,6.0
0.1,10,10,0.015,115578.09,2.45,3.41,0.73,-6.6,0.37,63.4,6.0
0.1,10,10,0.03,112538.85,1.99,2.93,0.69,-6.8,0.29,59.2,6.0
0.1,10,21,0.005,130020.4,4.48,4.96,0.91,-7.69,0.58,67.6,6.0
0.1,10,21,0.015,131176.58,4.63,4.87,0.96,-6.42,0.72,69.0,6.0
